date,label,title,price,status,source,url
2026-08-10,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-11,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,26700,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-12,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,26700,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-13,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,26700,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-14,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,26700,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-15,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,26700,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-16,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,26700,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-17,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-18,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-19,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-20,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-21,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-22,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-23,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-24,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-25,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-26,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-27,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-28,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-29,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-30,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-08-31,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-09-01,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-09-02,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-09-03,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
2026-09-04,민물장어 양념구이 8미 1kg(선일수산),푸드엔 :: 식자재마트,29600,ok,id:realPrc,https://www.fooden.com/shop/detail.php?pno=c49637411a6812ccc5afe3d64355fd6e&ctype=1
